ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
9204,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,9204.jpg,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Casual,Fila Men Cush Flex Black Slippers,18653.jpg,http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg
12967,Men,Footwear,Sandal,Sandals,Black,Casual,ADIDAS Men Spry M Black Sandals,12967.jpg,http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg
9036,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Buckaroo Men Flores Black Formal Shoes,9036.jpg,http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg
39988,Men,Footwear,Shoes,Casual Shoes,White,Casual,Gas Men Europa White Shoes,39988.jpg,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg
3168,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men's Incinerate MSL White Blue Shoe,3168.jpg,http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg
10268,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Clarks Men Hang Work Leather Black Formal Shoes,10268.jpg,http://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg
59435,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Arrow Men Black Formal Shoes,59435.jpg,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg
22198,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Timberland Men Black Casual Shoes,22198.jpg,http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Casual,Vans Men Classic Slip-On Purple & Black Shoes,29570.jpg,http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg
6628,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men's Lowell White Silver Shoe,6628.jpg,http://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg
26538,Men,Footwear,Shoes,Casual Shoes,Red,Casual,ID Men Red Shoes,26538.jpg,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Casual,Vans Men Khaki Shoes,49495.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Casual,Lotto Men XL Water Man Silver Slippers,19123.jpg,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Casual,Reebok Men Black Possession Flip Flops,43369.jpg,http://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg
33822,Men,Footwear,Shoes,Sports Shoes,White,Sports,Puma Men Axis White & Grey Sports Shoes,33822.jpg,http://assets.myntassets.com/v1/images/style/properties/52ad8ae288ba080d88a116b3c70305ec_images.jpg
11940,Men,Footwear,Sandal,Sandals,Black,Casual,Ganuchi Men Casual Black Sandals,11940.jpg,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg
19311,Men,Footwear,Shoes,Casual Shoes,White,Casual,Nike Men Air Rift MTR White Casual Shoe,19311.jpg,http://assets.myntassets.com/v1/images/style/properties/ac5a2fb9462db16f4cf5fc0f3616a9e6_images.jpg
42089,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men White Corona Sports Shoes,42089.jpg,http://assets.myntassets.com/v1/images/style/properties/5059a8f382c53105f1bdce6780543934_images.jpg
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Vans Men Blue Era Scilla Plaid Shoes,49461.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Blue-Casual-Shoes_f9ad04b071e06c34a04e2c0a047d58a1_images.jpg
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,Fila Men Destiny Grey Sports Shoes,23882.jpg,http://assets.myntassets.com/v1/images/style/properties/498da65eeee9a23f2049449258384d55_images.jpg
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Sports,ADIDAS Men Blue Chill Sports Shoes,34835.jpg,http://assets.myntassets.com/v1/images/style/properties/c0abfa74fe61af6ba9e5f4936f45e6c7_images.jpg
33648,Men,Footwear,Sandal,Sandals,Brown,Casual,Lotto Men Ridge Brown Sandals,33648.jpg,http://assets.myntassets.com/v1/images/style/properties/42344fe581af7a4c62d2a39ceb57be24_images.jpg
18495,Men,Footwear,Sandal,Sandals,White,Casual,Puma Men Fashion Cat White Slipper,18495.jpg,http://assets.myntassets.com/v1/images/style/properties/c78acc78b83e4f2e014215d2a302f04b_images.jpg
41866,Men,Footwear,Sandal,Sandals,Beige,Casual,Estd. 1977 Men Beige & Green Sandals,41866.jpg,http://assets.myntassets.com/v1/images/style/properties/7adfef9d7001cdcb9a58822c0c8b615f_images.jpg
44528,Men,Footwear,Sandal,Sandals,Black,Casual,Coolers Men Black Sandals,44528.jpg,http://assets.myntassets.com/v1/images/style/properties/5fdccf41dafc022f36adea9a7df6751c_images.jpg
42042,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,42042.jpg,http://assets.myntassets.com/v1/images/style/properties/16a858c7c58d665ba030df2f9f326086_images.jpg
23849,Men,Footwear,Shoes,Casual Shoes,Black,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,23849.jpg,http://assets.myntassets.com/v1/images/style/properties/aca469db7fbac91473fc2a810461889d_images.jpg
24250,Men,Footwear,Shoes,Casual Shoes,White,Casual,Numero Uno Men White Casual Shoes,24250.jpg,http://assets.myntassets.com/v1/images/style/properties/ff82e800185f09437bdd38606dbd4ec6_images.jpg
15517,Men,Footwear,Shoes,Casual Shoes,Red,Casual,Rockport Men LLandro Red Casual Shoes,15517.jpg,http://assets.myntassets.com/v1/images/style/properties/0ea0e6130d5d4c093e0e516f9b43ced6_images.jpg
23247,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Arrow Men Formal Black Shoe,23247.jpg,http://assets.myntassets.com/v1/images/style/properties/0201105e4604bc784525d9cf0e972c40_images.jpg
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Carlton London Men Formal Brown Formal Shoes,10633.jpg,http://assets.myntassets.com/v1/images/style/properties/b195b911f558c0232e22849d1ca73193_images.jpg
17416,Men,Footwear,Shoes,Sports Shoes,Black,Sports,Lotto Men Atlantica Black Sports Shoe,17416.jpg,http://assets.myntassets.com/v1/images/style/properties/1279efc8b61fb461a804f0c1f82f276b_images.jpg
12958,Men,Footwear,Shoes,Sports Shoes,Black,Sports,ADIDAS Men Sports Black Sports Shoes,12958.jpg,http://assets.myntassets.com/v1/images/style/properties/9c0d1badace8d2eb9680232648e94d85_images.jpg
30234,Men,Footwear,Flip Flops,Flip Flops,Black,Casual,Numero Uno Men Black Flip Flops,30234.jpg,http://assets.myntassets.com/v1/images/style/properties/7b99e89eac30c7d4d78d54c8cc67e35a_images.jpg
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Casual,Gliders Men Esquire Red Flip Flops,35574.jpg,http://assets.myntassets.com/v1/images/style/properties/9c1df994bfd66e4485b82d0e74066d98_images.jpg
54543,Men,Footwear,Shoes,Sports Shoes,White,Casual,F Sports Men White Outlander Sports Shoes,54543.jpg,http://assets.myntassets.com/v1/images/style/properties/F-Sports-Men-White-Outlander-Sports-Shoes_b600b7c68b5e9dd8b56dcd8732ce0fda_images.jpg
32751,Men,Footwear,Shoes,Casual Shoes,Black,Casual,FILA Men Liga II Black Shoes,32751.jpg,http://assets.myntassets.com/v1/images/style/properties/ea051d39d65bfdcba994e6cd49061bd7_images.jpg
45603,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Arrow Men Black Formal Shoes,45603.jpg,http://assets.myntassets.com/v1/images/style/properties/8f3b9f4c5f554e39681567b22985966e_images.jpg
4524,Men,Footwear,Shoes,Sports Shoes,Black,Sports,Puma Men's YugoRun Black White Shoe,4524.jpg,http://assets.myntassets.com/v1/images/style/properties/fae0ae76d008674551fbdbb64988ea51_images.jpg
41859,Men,Footwear,Sandal,Sandals,Black,Casual,Estd. 1977 Men Black Sandals,41859.jpg,http://assets.myntassets.com/v1/images/style/properties/2a07ce87fedfca8928f12f3ddf6b7632_images.jpg
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Casual,ADIDAS Men Adi Cells Black Flip Flops,21180.jpg,http://assets.myntassets.com/v1/images/style/properties/b057c9e8d5ccc63369807a12f67a39ac_images.jpg
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,GAS Men Brown Count Casual Shoes,39943.jpg,http://assets.myntassets.com/v1/images/style/properties/f2d705addd04fcf5516aef873254441e_images.jpg
44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Casual,Coolers Men Brown Pokar Flip Flops,44517.jpg,http://assets.myntassets.com/v1/images/style/properties/Coolers-Men-POKAR-Brown-Flip-Flops_8b247db935e7cfffb8f5a0b8d578f7bf_images.jpg
8913,Men,Footwear,Shoes,Sports Shoes,White,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,8913.jpg,http://assets.myntassets.com/v1/images/style/properties/c7a70ae4f57ca4c605f4fabb82c735fc_images.jpg
